Registration Group Number,Registration Group Name,Support Category Number,Support Category Name,Support Item Number,Support Item Name,Unit,Quote,"Price Limit:  NT - SA 
TAS-WA
(MMM 1-5)   ","Price Limit: ACT - NSW
QLD - VIC
(MMM 1-5)   ","Price Limit:  National
Non-Remote
(MMM 1-5)   ","Price Limit:  National Remote
(MMM 6)   ","Price Limit:  National Very Remote
(MMM 7)   "
107,Daily Personal Activities,1,Assistance with daily life,01_002_0107_1_1,Assistance With Self-Care Activities - Standard - Weekday Night,H,N,,,$60.87,$85.22,$91.31
107,Daily Personal Activities,1,Assistance with daily life,01_002_0107_1_1_T,Assistance With Self-Care Activities - Standard - Weekday Night - TTP,H,N,,,$64.52,$90.33,$96.78
107,Daily Personal Activities,1,Assistance with daily life,01_003_0107_1_1,Assistance From Live-In Carer,H,Y,,,,,
107,Daily Personal Activities,1,Assistance with daily life,01_004_0107_1_1,Assistance With Personal Domestic Activities,H,N,,,$51.09,$71.53,$76.64
107,Daily Personal Activities,1,Assistance with daily life,01_010_0107_1_1,Assistance With Self-Care Activities - Night-Time Sleepover,E,N,,,$231.06,$323.48,$346.59
107,Daily Personal Activities,1,Assistance with daily life,01_011_0107_1_1,Assistance With Self-Care Activities - Standard - Weekday Daytime,H,N,,,$54.30,$76.02,$81.45
107,Daily Personal Activities,1,Assistance with daily life,01_011_0107_1_1_T,Assistance With Self-Care Activities - Standard - Weekday Daytime - TTP,H,N,,,$57.56,$80.58,$86.34
107,Daily Personal Activities,1,Assistance with daily life,01_012_0107_1_1,Assistance With Self-Care Activities - Standard - Public Holiday,H,N,,,$119.94,$167.92,$179.91
107,Daily Personal Activities,1,Assistance with daily life,01_012_0107_1_1_T,Assistance With Self-Care Activities - Standard - Public Holiday - TTP,H,N,,,$127.14,$178.00,$190.71
107,Daily Personal Activities,1,Assistance with daily life,01_013_0107_1_1,Assistance With Self-Care Activities - Standard - Saturday,H,N,,,$76.18,$106.65,$114.27
107,Daily Personal Activities,1,Assistance with daily life,01_013_0107_1_1_T,Assistance With Self-Care Activities - Standard - Saturday - TTP,H,N,,,$80.75,$113.05,$121.13
107,Daily Personal Activities,1,Assistance with daily life,01_014_0107_1_1,Assistance With Self-Care Activities - Standard - Sunday,H,N,,,$98.06,$137.28,$147.09
